Time (UTC),Altitude,Wind Speed Avg (km/h),Wind Speed Min (km/h),Wind Speed Max (km/h),Wind Heading (degrees),Wind Ts,Score
2023-11-03 10:35:24,498,15.5,10.0,21.5,225.0,2023-11-03 10:35:02,26
2023-11-03 10:39:26,506,15.0,10.5,20.0,225.0,2023-11-03 10:40:02,22
2023-11-03 10:43:28,493,17.0,11.0,24.5,225.0,2023-11-03 10:45:05,0
2023-11-03 10:49:29,474,12.5,7.25,21.0,225.0,2023-11-03 10:50:05,13
2023-11-03 11:07:45,461,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,11
2023-11-03 11:13:54,488,14.0,9.75,20.5,225.0,2023-11-03 11:15:14,19
2023-11-03 11:17:56,480,14.5,9.5,20.5,225.0,2023-11-03 11:20:14,13
2023-11-03 11:23:59,492,15.5,9.75,22.0,225.0,2023-11-03 11:25:20,9
2023-11-03 11:28:01,492,15.5,10.5,22.5,225.0,2023-11-03 11:30:20,12
2023-11-03 11:34:04,495,14.5,9.5,22.0,225.0,2023-11-03 11:35:23,10
2023-11-03 11:38:06,477,14.5,8.0,19.5,225.0,2023-11-03 11:40:23,4
2023-11-03 13:19:53,521,18.0,11.5,24.5,225.0,2023-11-03 13:20:54,49
2023-11-03 13:23:55,519,17.5,10.5,23.5,225.0,2023-11-03 13:25:57,27
2023-11-03 13:29:58,543,15.5,11.0,20.0,247.5,2023-11-03 13:30:57,29
2023-11-03 13:34:00,484,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,0
2023-11-03 13:40:03,471,14.0,9.25,21.0,225.0,2023-11-03 13:41:00,22
2023-11-08 10:39:20,432,13.5,10.0,22.5,202.5,2023-11-08 10:37:54,0
2023-11-08 10:47:05,458,14.0,9.75,18.5,202.5,2023-11-08 10:47:57,8
2023-11-08 10:51:07,457,13.5,7.25,19.5,202.5,2023-11-08 10:53:00,9
2023-11-08 10:57:10,494,14.5,9.75,20.5,225.0,2023-11-08 10:58:00,30
2023-11-08 11:01:12,466,13.5,9.0,20.5,202.5,2023-11-08 11:03:03,25
2023-11-08 11:05:42,441,12.5,7.0,20.0,202.5,2023-11-08 11:08:03,0
2023-11-08 11:17:04,441,13.0,8.25,18.0,202.5,2023-11-08 11:18:07,28
2023-11-08 11:21:06,464,14.5,10.5,21.5,202.5,2023-11-08 11:23:49,3
2023-11-08 11:27:09,449,14.0,10.5,20.5,202.5,2023-11-08 11:28:49,22
2023-11-08 11:35:39,470,12.5,6.25,20.0,180.0,2023-11-08 11:33:51,0
2023-11-08 11:36:59,466,12.0,7.5,18.5,202.5,2023-11-08 11:38:51,0
2023-11-08 11:41:48,477,11.5,8.0,17.0,225.0,2023-11-08 11:43:55,6
2023-11-08 11:54:37,459,11.0,5.5,17.5,202.5,2023-11-08 11:53:58,0
2023-11-08 11:56:38,457,12.5,8.0,17.5,202.5,2023-11-08 11:58:58,9
2023-11-08 12:01:40,478,14.5,8.0,21.5,247.5,2023-11-08 12:04:01,9
2023-11-08 12:13:52,459,14.0,8.0,22.5,202.5,2023-11-08 12:14:04,10
2023-11-08 12:17:54,471,14.5,9.75,20.0,202.5,2023-11-08 12:19:04,7
2023-11-08 12:21:56,446,13.0,8.25,19.5,202.5,2023-11-08 12:24:07,22
2023-11-08 12:29:10,455,12.5,8.0,21.5,202.5,2023-11-08 12:29:07,14
2023-11-08 12:33:12,473,14.5,9.5,20.0,202.5,2023-11-08 12:34:10,39
2023-11-08 12:37:14,489,17.0,12.0,24.0,202.5,2023-11-08 12:39:10,0
2023-11-08 12:44:08,464,15.0,10.0,21.0,202.5,2023-11-08 12:44:13,0
2023-11-08 12:48:10,450,12.5,8.5,17.5,202.5,2023-11-08 12:49:13,22
2023-11-08 12:52:03,470,12.5,7.25,16.0,202.5,2023-11-08 12:54:16,0
2023-11-08 13:05:30,462,12.0,6.75,17.0,225.0,2023-11-08 13:04:20,0
2023-11-08 13:07:23,425,12.5,8.0,17.5,202.5,2023-11-08 13:09:20,0
2023-11-08 13:26:51,425,13.5,6.0,18.5,202.5,2023-11-08 13:24:25,0
2023-11-08 13:44:16,466,12.5,6.25,18.0,202.5,2023-11-08 13:44:31,5
2023-11-08 13:55:48,418,12.5,8.0,18.0,180.0,2023-11-08 13:54:34,0
2023-11-08 14:14:05,458,11.5,6.25,15.5,202.5,2023-11-08 14:14:40,14
2023-11-08 14:40:35,450,12.0,8.25,15.0,225.0,2023-11-08 14:39:47,0
2023-11-11 09:56:56,465,19.5,13.0,27.0,225.0,2023-11-11 09:56:01,1
2023-11-11 09:58:57,466,14.5,10.5,17.5,225.0,2023-11-11 10:01:01,0
2023-11-11 10:05:00,459,17.0,10.0,25.0,225.0,2023-11-11 10:06:05,13
2023-11-11 10:12:41,455,14.5,8.75,21.5,225.0,2023-11-11 10:11:05,0
2023-11-11 10:14:42,469,13.0,7.25,18.5,225.0,2023-11-11 10:16:08,15
2023-11-11 10:18:44,510,17.0,10.5,25.5,225.0,2023-11-11 10:21:08,49
2023-11-11 10:24:47,522,14.5,8.5,23.5,225.0,2023-11-11 10:26:11,4
2023-11-11 10:28:49,460,15.5,8.75,28.0,225.0,2023-11-11 10:31:11,68
2023-11-11 10:34:52,644,19.5,12.5,26.0,225.0,2023-11-11 10:36:13,107
2023-11-11 10:38:52,436,22.0,10.5,29.0,225.0,2023-11-11 10:41:13,0
2023-11-11 11:01:36,468,23.0,15.5,28.5,225.0,2023-11-11 11:01:20,0
2023-11-11 11:05:38,484,21.0,15.0,28.0,225.0,2023-11-11 11:06:23,83
2023-11-11 11:09:40,499,22.0,16.0,29.0,225.0,2023-11-11 11:11:23,96
2023-11-11 11:15:43,501,24.5,17.0,30.5,225.0,2023-11-11 11:16:25,0
2023-11-11 11:19:45,502,20.0,13.5,27.5,225.0,2023-11-11 11:21:25,15
2023-11-11 11:25:48,534,20.5,13.5,29.0,225.0,2023-11-11 11:26:32,21
2023-11-11 11:29:50,509,21.0,13.5,31.0,225.0,2023-11-11 11:31:32,7
2023-11-11 11:35:53,495,22.5,15.5,30.0,225.0,2023-11-11 11:36:35,8
2023-11-11 13:06:50,468,14.5,7.5,21.0,225.0,2023-11-11 13:07:02,0
2023-11-11 13:10:52,464,9.25,4.0,16.0,225.0,2023-11-11 13:12:02,8
2023-11-11 13:18:28,466,11.0,5.75,15.5,225.0,2023-11-11 13:17:06,7
2023-11-11 13:20:29,478,14.5,8.75,22.5,225.0,2023-11-11 13:22:06,42
2023-11-11 13:26:32,504,18.5,12.5,28.0,225.0,2023-11-11 13:27:08,7
2023-11-11 13:30:34,522,18.5,13.0,25.0,225.0,2023-11-11 13:32:08,7
2023-11-11 13:36:34,470,18.5,11.0,27.5,225.0,2023-11-11 13:37:11,8
2023-11-11 13:40:39,480,18.0,10.5,25.0,225.0,2023-11-11 13:42:11,4
2023-11-11 13:46:42,471,16.0,12.0,22.0,225.0,2023-11-11 13:47:15,0
2023-11-11 13:59:37,456,12.5,8.0,17.0,225.0,2023-11-11 13:57:17,0
2023-11-11 14:06:31,439,13.0,9.25,18.0,225.0,2023-11-11 14:07:20,27
2023-11-11 14:15:53,417,12.0,8.0,18.0,225.0,2023-11-11 14:17:24,11
2023-11-11 14:19:55,452,12.5,8.75,17.5,225.0,2023-11-11 14:22:24,29
2023-11-11 14:25:58,494,13.0,8.5,18.5,225.0,2023-11-11 14:27:26,0
2023-11-11 14:30:00,465,13.5,7.0,20.5,225.0,2023-11-11 14:32:26,0
2023-11-11 14:38:57,497,14.5,10.0,22.0,225.0,2023-11-11 14:37:30,25
2023-11-11 14:40:58,502,15.5,10.0,21.0,225.0,2023-11-11 14:42:30,6
2023-11-11 14:47:01,515,14.5,10.0,21.0,225.0,2023-11-11 14:47:32,31
2023-11-11 14:51:03,511,12.0,8.0,18.0,225.0,2023-11-11 14:52:32,23
2023-11-11 14:55:05,467,13.0,8.0,19.5,225.0,2023-11-11 14:57:36,5
2023-11-11 15:30:37,439,11.0,8.0,18.0,225.0,2023-11-11 15:32:45,0
2023-11-11 15:36:40,404,10.5,7.25,14.5,225.0,2023-11-11 15:37:48,6
2023-11-11 15:40:42,399,8.75,5.25,12.5,225.0,2023-11-11 15:42:48,6
2023-11-11 15:46:45,406,8.25,4.75,13.0,225.0,2023-11-11 15:47:51,1
2023-11-11 15:50:47,404,9.75,5.0,16.5,225.0,2023-11-11 15:52:51,0
2023-11-11 15:56:50,398,9.0,6.25,13.0,225.0,2023-11-11 15:57:54,3
2023-11-11 16:00:52,408,8.5,6.0,11.5,225.0,2023-11-11 16:02:54,6
2023-11-11 16:06:55,417,9.25,5.0,13.5,225.0,2023-11-11 16:07:57,19
2023-11-11 16:10:57,397,10.0,7.0,15.0,225.0,2023-11-11 16:12:57,31
2023-11-25 13:22:18,503,19.0,13.0,27.0,225.0,2023-11-25 13:24:15,33
2023-11-25 13:28:21,512,16.5,10.0,23.5,225.0,2023-11-25 13:29:15,0
2023-11-25 13:32:23,536,19.0,12.5,28.0,225.0,2023-11-25 13:34:18,38
2023-11-25 13:38:26,520,18.5,12.0,25.5,225.0,2023-11-25 13:39:18,5
2023-11-25 13:42:28,537,19.0,13.0,29.0,225.0,2023-11-25 13:44:22,46
2023-11-25 13:48:31,453,19.0,14.0,26.0,225.0,2023-11-25 13:49:22,0
2023-11-26 16:12:17,1515,8.0,5.0,13.5,202.5,2023-11-26 16:13:14,0
2023-11-26 16:16:17,974,6.5,3.75,11.5,202.5,2023-11-26 16:18:14,1
2023-12-20 09:57:32,467,14.5,10.0,19.0,225.0,2023-12-20 09:59:43,4
2023-12-20 10:05:21,471,12.5,7.5,17.5,225.0,2023-12-20 10:04:47,1
2023-12-20 10:07:21,456,13.0,10.5,16.0,225.0,2023-12-20 10:09:47,0
2023-12-20 10:21:51,493,13.0,9.75,19.0,225.0,2023-12-20 10:19:49,23
2023-12-20 10:23:52,494,15.0,10.5,19.5,225.0,2023-12-20 10:24:52,0
2023-12-20 10:27:54,480,15.5,10.5,20.0,225.0,2023-12-20 10:29:52,0
2023-12-20 10:33:57,475,13.5,10.0,18.0,225.0,2023-12-20 10:34:56,2
2023-12-20 10:43:33,461,14.0,9.25,18.5,225.0,2023-12-20 10:44:58,12
2023-12-20 11:01:35,470,16.0,10.5,21.5,225.0,2023-12-20 11:00:01,2
2023-12-20 11:03:36,457,14.0,9.5,20.5,225.0,2023-12-20 11:05:05,0
2023-12-20 12:57:36,437,11.0,7.25,14.0,247.5,2023-12-20 12:56:29,0
2023-12-26 11:15:48,487,17.5,11.5,24.0,225.0,2023-12-26 11:15:53,16
2023-12-26 11:19:50,497,17.0,9.0,21.5,225.0,2023-12-26 11:20:56,9
2023-12-26 11:23:52,463,18.5,12.0,24.0,225.0,2023-12-26 11:25:56,6
2023-12-26 11:29:55,474,16.0,10.0,20.0,225.0,2023-12-26 11:31:50,40
2023-12-26 11:35:58,477,15.5,8.0,22.5,225.0,2023-12-26 11:36:50,5
2023-12-26 14:22:24,495,21.0,14.0,28.5,225.0,2023-12-26 14:22:41,25
2023-12-26 14:26:26,485,22.0,16.0,29.5,225.0,2023-12-26 14:27:41,12
2023-12-26 14:30:28,511,21.0,16.0,26.5,225.0,2023-12-26 14:32:44,10
2024-01-14 12:16:29,470,12.0,7.25,16.0,225.0,2024-01-14 12:17:24,2
2024-01-14 12:28:30,470,10.5,6.0,15.0,225.0,2024-01-14 12:27:27,5
2024-01-14 12:32:04,471,9.5,4.0,13.0,225.0,2024-01-14 12:32:27,7
2024-01-14 12:42:16,424,9.75,7.5,12.0,225.0,2024-01-14 12:42:30,0
2024-01-14 13:51:58,465,10.0,6.5,12.5,225.0,2024-01-14 13:52:52,6
2024-01-14 13:59:25,422,9.25,6.75,11.5,225.0,2024-01-14 13:57:55,0
2024-01-14 14:01:26,435,8.25,5.25,11.5,225.0,2024-01-14 14:02:55,26
2024-01-14 14:05:28,474,7.75,5.0,10.0,225.0,2024-01-14 14:07:58,14
2024-01-14 14:14:15,460,8.5,4.75,12.5,225.0,2024-01-14 14:12:58,0
2024-01-14 14:16:16,470,7.0,4.75,8.75,225.0,2024-01-14 14:18:01,10
2024-01-14 14:44:16,457,9.75,5.5,12.5,225.0,2024-01-14 14:43:07,0
2024-01-14 14:46:17,470,8.25,6.5,10.5,225.0,2024-01-14 14:48:10,13
2024-02-04 10:51:32,492,17.0,10.5,23.0,225.0,2024-02-04 10:53:01,21
2024-02-04 10:55:34,483,16.5,12.0,22.5,225.0,2024-02-04 10:58:03,0
2024-02-04 11:01:37,469,17.0,11.5,24.0,225.0,2024-02-04 11:03:03,7
2024-02-04 11:05:39,453,16.0,12.5,21.5,225.0,2024-02-04 11:08:06,32
2024-02-04 11:11:42,584,19.5,14.5,25.5,225.0,2024-02-04 11:13:06,114
2024-02-04 11:15:44,543,15.0,9.5,20.0,225.0,2024-02-04 11:18:10,58
2024-02-04 11:21:47,547,16.0,10.5,21.5,225.0,2024-02-04 11:23:10,76
2024-02-04 11:27:50,527,15.5,10.0,20.0,247.5,2024-02-04 11:29:09,0
2024-02-04 11:31:52,486,15.5,11.0,21.0,225.0,2024-02-04 11:34:09,14
2024-02-04 12:01:50,469,15.0,10.5,20.5,225.0,2024-02-04 12:04:18,3
2024-02-04 12:07:53,466,12.0,9.0,16.0,225.0,2024-02-04 12:09:21,0
2024-02-04 12:11:55,464,17.0,10.5,23.0,202.5,2024-02-04 12:14:21,7
2024-02-04 12:17:50,463,16.0,9.25,20.0,225.0,2024-02-04 12:19:25,21
2024-02-04 12:29:51,471,12.5,8.5,19.5,225.0,2024-02-04 12:29:28,4
2024-02-04 12:33:53,466,16.0,10.0,22.5,225.0,2024-02-04 12:34:28,0
2024-02-04 12:39:18,466,14.0,9.25,19.5,225.0,2024-02-04 12:39:30,0
2024-02-04 12:47:58,449,16.0,11.5,21.0,225.0,2024-02-04 12:49:34,30
2024-02-04 12:54:01,545,17.5,13.0,22.5,225.0,2024-02-04 12:54:34,49
2024-02-04 12:58:03,499,15.5,11.5,19.5,225.0,2024-02-04 12:59:37,2
2024-02-04 13:04:06,482,15.5,10.5,21.5,225.0,2024-02-04 13:04:37,10
2024-02-04 13:08:08,507,15.5,8.5,22.0,247.5,2024-02-04 13:09:39,15
2024-02-04 13:12:10,473,16.0,11.0,22.0,225.0,2024-02-04 13:14:39,0
2024-02-04 13:18:13,467,14.5,10.0,20.0,225.0,2024-02-04 13:19:43,5
2024-02-04 13:25:30,460,12.5,7.25,18.5,225.0,2024-02-04 13:24:43,7
2024-02-04 13:46:31,476,13.0,8.0,18.5,202.5,2024-02-04 13:44:49,5
2024-02-04 13:48:32,493,15.5,10.0,24.0,202.5,2024-02-04 13:49:52,20
2024-02-04 13:52:34,493,17.0,11.0,26.0,225.0,2024-02-04 13:54:52,19
2024-02-04 13:58:37,493,16.0,11.5,20.0,225.0,2024-02-04 13:59:55,0
2024-02-04 14:02:39,465,14.5,11.0,20.5,225.0,2024-02-04 14:04:55,22
2024-02-04 14:08:42,493,15.0,11.0,19.5,225.0,2024-02-04 14:09:58,18
2024-02-04 14:12:44,510,17.5,11.0,22.5,225.0,2024-02-04 14:14:58,9
2024-02-04 14:18:47,500,15.0,10.0,25.0,247.5,2024-02-04 14:20:01,15
2024-02-04 14:22:49,541,18.5,13.0,27.0,247.5,2024-02-04 14:25:01,37
2024-02-04 14:28:52,461,17.5,10.0,22.0,247.5,2024-02-04 14:30:03,11
2024-02-04 14:32:54,476,13.0,5.75,19.0,225.0,2024-02-04 14:35:03,8
2024-02-04 15:19:01,463,10.5,6.25,15.0,225.0,2024-02-04 15:20:19,7
2024-02-04 15:25:09,470,12.5,8.25,16.5,225.0,2024-02-04 15:25:19,0
2024-02-04 15:30:48,431,12.0,7.0,16.0,225.0,2024-02-04 15:30:23,0
2024-02-11 11:44:42,512,13.0,9.25,19.5,225.0,2024-02-11 11:42:28,35
2024-02-11 11:46:43,504,13.5,6.0,19.5,247.5,2024-02-11 11:47:28,19
2024-02-11 11:50:45,545,16.0,11.5,21.5,225.0,2024-02-11 11:52:31,22
2024-02-11 11:56:26,460,14.5,10.0,19.5,225.0,2024-02-11 11:57:31,4
2024-02-11 12:05:14,458,15.5,8.0,24.0,225.0,2024-02-11 12:07:35,7
2024-02-11 12:13:01,460,12.0,5.75,16.5,225.0,2024-02-11 12:12:37,6
2024-02-11 12:17:03,462,14.5,10.5,21.0,225.0,2024-02-11 12:17:37,1
2024-02-11 12:23:17,479,13.5,6.0,21.0,225.0,2024-02-11 12:22:40,12
2024-02-11 12:25:18,490,16.5,11.0,21.5,225.0,2024-02-11 12:27:40,11
2024-02-11 12:31:21,511,16.0,10.0,22.0,225.0,2024-02-11 12:32:43,37
2024-02-11 12:35:23,528,18.5,12.5,27.0,225.0,2024-02-11 12:37:43,15
2024-02-11 12:41:44,472,21.0,12.5,28.5,225.0,2024-02-11 12:42:47,38
2024-02-11 12:45:46,461,18.5,13.0,26.0,225.0,2024-02-11 12:47:47,11
2024-02-11 12:51:03,470,18.5,7.0,29.0,225.0,2024-02-11 12:52:50,38
2024-02-11 12:56:02,489,21.5,16.0,32.0,225.0,2024-02-11 12:57:50,45
2024-02-11 13:02:05,485,21.0,15.5,29.0,225.0,2024-02-11 13:02:52,0
2024-02-11 13:12:57,457,16.5,7.75,25.0,225.0,2024-02-11 13:12:56,15
2024-02-11 13:15:59,469,14.0,9.75,20.5,225.0,2024-02-11 13:17:56,0
2024-02-11 13:23:19,480,13.5,10.0,22.0,202.5,2024-02-11 13:22:58,4
2024-02-11 13:27:21,474,17.0,11.5,22.5,202.5,2024-02-11 13:27:58,6
2024-02-11 13:35:26,469,16.5,11.5,22.0,225.0,2024-02-11 13:33:01,0
2024-02-11 13:37:27,472,15.0,10.5,19.5,202.5,2024-02-11 13:38:01,3
2024-02-11 13:42:41,471,15.5,9.25,24.0,225.0,2024-02-11 13:43:05,18
2024-02-11 13:46:43,498,19.0,14.0,24.0,225.0,2024-02-11 13:48:05,9
2024-02-11 14:30:02,470,12.0,8.0,19.0,225.0,2024-02-11 14:28:16,2
2024-02-11 14:33:32,473,13.0,8.25,19.5,225.0,2024-02-11 14:33:20,0
2024-02-11 14:37:34,465,14.5,8.25,22.0,225.0,2024-02-11 14:38:20,0
2024-02-11 14:41:36,488,18.0,13.0,22.5,225.0,2024-02-11 14:43:23,24
2024-02-11 14:47:39,454,18.0,11.0,25.5,225.0,2024-02-11 14:48:23,16
2024-02-11 14:51:41,480,19.5,13.0,28.0,225.0,2024-02-11 14:53:26,38
2024-02-11 14:57:44,497,15.0,11.0,19.0,225.0,2024-02-11 14:58:26,0
2024-02-11 15:01:46,469,15.5,12.0,19.5,225.0,2024-02-11 15:03:29,11
